Date,Country,HomeCountry,Home,AwayCountry,Away,HomeGoals,AwayGoals,HomeExGoals,AwayExGoals,HFA,EloChange,HomeElo,AwayElo,HomeTilt,AwayTilt,HomeRank,AwayRank,day_name,period,day_type,stadium,NACGoals,NACExGoals,OppGoals,OppExGoals,stint_id,coach,start_date,end_date
1997-11-22,NED,NED,Breda,NED,Sittard,3,1,1.62855362892,0.972628831863,84.5134887695,6.99177408218,1510.72692871,1471.09484863,1.0627052784,0.989795327187,,,Saturday,avondje_nac_rat,avondje_nac,rat_verlegh,3,1.62855362892,1,0.972628831863,30,Herbert Neumann,1997-07-01,1998-10-08
2002-11-30,NED,NED,Breda,NED,Roosendaal,1,0,2.07656621933,0.77386367321,93.8388137817,2.5908498764,1570.43237305,1403.96154785,0.975725471973,1.00466179848,,,Saturday,avondje_nac_rat,avondje_nac,rat_verlegh,1,2.07656621933,0,0.77386367321,27,Henk ten Cate,2000-07-01,2003-06-30
1982-02-17,NED,NED,Breda,NED,Go Ahead Eagles,1,0,1.81589710712,1.34639620781,102.756439209,6.16650819778,1492.82666016,1532.08886719,1.07113194466,1.25468409061,,,Wednesday,weekday_bea,weekday,beatrix_straat,1,1.81589710712,0,1.34639620781,42,Jo Jansen,1979-01-22,1983-06-30
1976-03-21,NED,NED,Excelsior,NED,Breda,0,2,1.42203736305,0.808065116405,118.989639282,-15.6621656418,1436.69372559,1445.99450684,0.831900656223,1.00136315823,,,Sunday,uit,uit,uit,2,0.808065116405,0,1.42203736305,44,Bob Maaskant,1975-07-01,1977-06-30
2013-08-30,NED,NED,Breda,NED,Nijmegen,1,1,1.7611117363,1.08299517632,83.8566894531,-3.40582680702,1386.76586914,1347.3692627,1.00140142441,1.1402759552,,,Friday,weekday_rat,weekday,rat_verlegh,1,1.7611117363,1,1.08299517632,17,Nebojsa Gudelj,2012-11-21,2014-10-13
2013-12-21,NED,NED,Breda,NED,Cambuur,1,0,1.78919136524,0.892773211002,83.7295684814,3.8428850174,1414.57214355,1315.56555176,1.08543765545,0.952046334743,,,Saturday,avondje_nac_rat,avondje_nac,rat_verlegh,1,1.78919136524,0,0.892773211002,17,Nebojsa Gudelj,2012-11-21,2014-10-13
2018-09-29,NED,NED,Breda,NED,PSV,0,2,0.721046030521,2.79143810272,60.4064216614,-2.12761664391,1294.33520508,1703.00561523,1.03393602371,1.13502001762,,44.0,Saturday,avondje_nac_rat,avondje_nac,rat_verlegh,0,0.721046030521,2,2.79143810272,12,Mitchell van der Gaag,2018-07-01,2019-03-18
1975-03-09,NED,NED,Breda,NED,Wageningen,0,0,1.70445084572,0.896654784679,120.802963257,-3.78749799728,1420.07116699,1402.38659668,1.04282903671,1.05921900272,,,Sunday,pre_avondje,sunday,beatrix_straat,0,1.70445084572,0,0.896654784679,45,Jo Jansen,1974-11-29,1975-06-30
2008-09-27,NED,NED,Breda,NED,Heerenveen,4,2,1.59077191353,1.31541633606,86.2301254272,9.82535743713,1517.08569336,1568.94067383,1.03059732914,1.30742871761,,,Saturday,avondje_nac_rat,avondje_nac,rat_verlegh,4,1.59077191353,2,1.31541633606,21,Robert Maaskant,2008-07-01,2010-08-20
1967-10-22,NED,NED,Breda,NED,PSV,2,1,1.66592228413,1.3299587965,85.4413986206,6.73004484177,1349.55444336,1394.42785645,0.920621156693,1.16934812069,,,Sunday,pre_avondje,sunday,beatrix_straat,2,1.66592228413,1,1.3299587965,49,Bob Janse,1966-07-01,1968-04-09
1981-06-06,NED,NED,Den Haag,NED,Breda,1,2,1.83775734901,1.10602164268,108.522964478,-10.432934761,1490.78637695,1489.87646484,1.19245421886,1.08112311363,,,Saturday,uit,uit,uit,2,1.10602164268,1,1.83775734901,42,Jo Jansen,1979-01-22,1983-06-30
1977-05-08,NED,NED,Breda,NED,FC Amsterdam,2,0,1.62412929535,0.819120526314,122.221282959,6.51168441772,1510.31005859,1485.68554688,0.961987912655,0.98533219099,,,Sunday,sunday_bea,sunday,beatrix_straat,2,1.62412929535,0,0.819120526314,44,Bob Maaskant,1975-07-01,1977-06-30
1961-09-24,NED,NED,Breda,NED,FC Amsterdam,1,1,1.77792692184,1.34084534645,64.7694778442,-1.89387881756,1257.77258301,1255.93786621,1.0521337986,0.938932716846,,,Sunday,pre_avondje,sunday,beatrix_straat,1,1.77792692184,1,1.34084534645,50,Siem Plooijer,1961-07-01,1966-06-30
1971-11-07,NED,NED,Vitesse,NED,Breda,1,2,1.40953934193,1.39300954342,106.076843262,-7.48401260376,1363.34521484,1475.02722168,1.00219106674,1.06421589851,,,Sunday,uit,uit,uit,2,1.39300954342,1,1.40953934193,47,Ben Peeters,1971-07-01,1973-05-01
1997-05-25,NED,NED,Twente,NED,Breda,4,0,1.96565341949,0.987312972546,78.7362518311,8.08437347412,1604.44458008,1518.03039551,1.08775269985,1.12478935719,,,Sunday,uit,uit,uit,0,0.987312972546,4,1.96565341949,31,Wim Rijsbergen,1995-07-01,1997-06-30
