Date,Country,HomeCountry,Home,AwayCountry,Away,HomeGoals,AwayGoals,HomeExGoals,AwayExGoals,HFA,EloChange,HomeElo,AwayElo,HomeTilt,AwayTilt,HomeRank,AwayRank,day_name,period,day_type,stadium,stint_id,coach,start_date,end_date
02/03/1985,NED,NED,Breda,NED,Roda,2,0,1.242898822,1.436148763,93.50923157,12.96173668,1354.898071,1497.084839,0.955308139,1.112939715,,,Saturday,avondje_nac_bea,avondje_nac,beatrix_straat,39,Bob Maaskant,01/07/1984,30/06/1986
14/09/1996,NED,NED,Breda,NED,Alkmaar,1,0,1.982463241,0.803262353,83.02101135,3.012129307,1581.038086,1434.352783,1.117766619,0.957402468,,,Saturday,avondje_nac_rat,avondje_nac,rat_verlegh,31,Wim Rijsbergen,01/07/1995,30/06/1997
19/08/2000,NED,NED,Breda,NED,Waalwijk,0,1,1.499778986,1.166391253,87.56718445,-9.415770531,1380.346191,1407.498413,1,1.104017138,,,Saturday,avondje_nac_rat,avondje_nac,rat_verlegh,27,Henk ten Cate,01/07/2000,30/06/2003
25/03/1995,NED,NED,Breda,NED,Groningen,1,3,1.819970727,1.027220488,94.22949219,-15.74921989,1481.872803,1444.295044,1.151536942,1.082858801,,,Saturday,avondje_nac_bea,avondje_nac,beatrix_straat,32,Ronald Spelbos,01/01/1993,30/06/1995
23/02/1980,NED,NED,Breda,NED,Haarlem,1,0,1.594627261,0.900201976,124.2127762,4.983763218,1432.525757,1430.129639,0.936380625,1.064840674,,,Saturday,avondje_nac_bea,avondje_nac,beatrix_straat,42,Jo Jansen,22/01/1979,30/06/1983
15/09/2001,NED,NED,Breda,NED,PSV,2,0,0.91505003,1.90825069,91.94665527,17.87896156,1451.134155,1727.654297,0.92604214,1.055804133,,44,Saturday,avondje_nac_rat,avondje_nac,rat_verlegh,27,Henk ten Cate,01/07/2000,30/06/2003
06/10/2007,NED,NED,Breda,NED,De Graafschap,1,0,1.901336551,0.920986056,78.94742584,3.684244871,1449.050415,1335.533813,1.11812377,1.020733595,,,Saturday,avondje_nac_rat,avondje_nac,rat_verlegh,22,Ernie Brandts,01/07/2006,30/06/2008
22/10/2005,NED,NED,Breda,NED,Twente,1,1,1.273973107,1.305953979,75.85478973,0.543167651,1471.24646,1565.991333,1.084673047,0.953687727,,,Saturday,avondje_nac_rat,avondje_nac,rat_verlegh,25,Mark Schenning,01/07/2005,30/06/2006
24/10/1981,NED,NED,Breda,NED,Den Haag,5,0,2.097459316,0.961053729,111.7669296,8.184183121,1522.631836,1449.036865,1.073668361,1.180848122,,,Saturday,avondje_nac_bea,avondje_nac,beatrix_straat,42,Jo Jansen,22/01/1979,30/06/1983
26/08/1978,NED,NED,Breda,NED,Ajax,1,7,1.087069273,1.937483549,119.2402115,-10.66116619,1533.346313,1793.481934,0.965381324,1.048342943,,9,Saturday,avondje_nac_bea,avondje_nac,beatrix_straat,43,Hans Dorjee,01/07/1977,30/06/1979
01/11/2008,NED,NED,Breda,NED,Groningen,1,0,1.596491814,1.064928532,87.18575287,5.572841167,1553.46228,1541.639038,1.045864344,1.105577469,,,Saturday,avondje_nac_rat,avondje_nac,rat_verlegh,21,Robert Maaskant,01/07/2008,20/08/2010
11/04/1998,NED,NED,Breda,NED,Utrecht,2,1,1.734663606,0.996161997,91.78479004,4.764839172,1512.497437,1474.441772,0.997848034,1.147444367,,,Saturday,avondje_nac_rat,avondje_nac,rat_verlegh,30,Herbert Neumann,01/07/1997,08/10/1998
16/10/1982,NED,NED,Breda,NED,Nijmegen,1,1,1.478632092,0.943545699,101.6026077,-2.622344494,1443.265015,1451.578979,1.005702972,0.939888,,,Saturday,avondje_nac_bea,avondje_nac,beatrix_straat,42,Jo Jansen,22/01/1979,30/06/1983
